"","landCoverCode","year","sqKm","landCoverCategory","landCoverNameSp","landCoverName","sqKmNoFire"
"201","21",2007,9.32076786967065,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.32246640409448
"202","24",2007,3.18048530451025,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.18048530451025
"203","26",2007,4.48903246079358,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.48903246079358
"204","27",2007,26.8168174073807,"Grassland","Sabana de pajon","Sabana de pajon",27.3861828924889
"205","33",2007,5.32727185907727,"Wetland","Eneal","Cattail marsh",5.32727185907727
"206","35",2007,98.650954836873,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",98.6789413029985
"207","37",2007,715.163593056097,"Cultivated","Cultivos intensivos","Cultivated land",715.24404128504
"208","38",2007,470.935807561214,"Cultivated","Caña","Sugar cane",471.376075068782
"209","39",2007,268.971302100288,"Cultivated","Arroz","Rice",268.984811197151
"210","40",2007,585.696669846503,"Cultivated","Pasto","Pasture",585.713643719367
"211","51",2007,28.4909148756384,"Cultivated","Palma Africana","African palm",28.4909148756384
"212","52",2007,224.035031641813,"Cultivated","Palma de Coco","Coco Palm",224.040108430997
"213","53",2007,2307.5637811717,"Cultivated","Café y Cacao","Coffee and Cacao",2307.80557134116
"214","59",2007,3895.99896599987,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3899.19878164951
"215","65",2007,17.1862239482628,"Unvegetated","Lagunos o lagos","Lake",17.1870723869835
"216","72",2007,12.3102843264951,"Unvegetated","Areas pobladas","Populated areas",12.3102843264951
"217","1",2008,1559.9710810232,"Forest","Bosque conifero denso","Dense conifer forest",1611.41718515006
"218","2",2008,603.715179237388,"Forest","Bosque conifero abierto","Open conifer forest",620.994093825375
"219","4",2008,925.749505016188,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",932.072260328072
"220","6",2008,2470.44981103492,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2474.44545452698
"221","8",2008,1435.26936018921,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1435.83642412165
"222","9",2008,2065.45258877376,"Forest","Bosque seco","Dry forest",2066.09787415053
"223","12",2008,9.71371021244568,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.71371021244568
"224","13",2008,111.923572324328,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",111.933726137682
"225","14",2008,34.2717836059241,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.2717836059241
"226","16",2008,1632.06236241432,"Shrubland","Matorral latifoliado","Broadleaf matorral",1633.37727043483
"227","20",2008,938.564125941015,"Shrubland","Matorral seco","Dry matorral",938.748409788183
"228","21",2008,9.29315490743555,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.29485344185938
"229","24",2008,3.17969094719458,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.17969094719458
"230","26",2008,4.46007475027905,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.46007475027905
"231","27",2008,26.6198735132975,"Grassland","Sabana de pajon","Sabana de pajon",27.2265077620775
"232","33",2008,5.13453259438489,"Wetland","Eneal","Cattail marsh",5.13453259438489
"233","35",2008,98.0761573394746,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",98.1066843981294
"234","37",2008,707.842045507983,"Cultivated","Cultivos intensivos","Cultivated land",707.951298794482
"235","38",2008,467.649178282359,"Cultivated","Caña","Sugar cane",468.110663823069
"236","39",2008,266.177373893259,"Cultivated","Arroz","Rice",266.190882990122
"237","40",2008,575.127106203328,"Cultivated","Pasto","Pasture",575.144080076192
"238","51",2008,27.1616446882776,"Cultivated","Palma Africana","African palm",27.1616446882776
"239","52",2008,221.719115263081,"Cultivated","Palma de Coco","Coco Palm",221.724192052266
"240","53",2008,2290.11766230792,"Cultivated","Café y Cacao","Coffee and Cacao",2290.36876654245
"241","59",2008,3857.38905088261,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3861.08316061117
"242","65",2008,17.0809412302471,"Unvegetated","Lagunos o lagos","Lake",17.0817896689678
"243","72",2008,12.2258487864676,"Unvegetated","Areas pobladas","Populated areas",12.2258487864676
"244","1",2009,1555.87395695404,"Forest","Bosque conifero denso","Dense conifer forest",1607.32090688564
"245","2",2009,601.849188597338,"Forest","Bosque conifero abierto","Open conifer forest",619.164676341575
"246","4",2009,924.247863223018,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",930.571464343679
"247","6",2009,2459.94659324508,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2463.9507370342
"248","8",2009,1421.57523736426,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1422.15416949933
"249","9",2009,2049.63577969404,"Forest","Bosque seco","Dry forest",2050.44323792256
"250","12",2009,9.69220212190124,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.69220212190124
"251","13",2009,111.886604715086,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",111.896758528441
"252","14",2009,34.2357368795941,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.2357368795941
"253","16",2009,1620.80546690809,"Shrubland","Matorral latifoliado","Broadleaf matorral",1622.12376866224
"254","20",2009,932.53865544226,"Shrubland","Matorral seco","Dry matorral",932.731421944824
"255","21",2009,9.26863018892053,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.27032872334436
"256","24",2009,3.17834619220068,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.17834619220068
"257","26",2009,4.43946609641858,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.43946609641858
"258","27",2009,26.5568340904355,"Grassland","Sabana de pajon","Sabana de pajon",27.1634683392155
"259","33",2009,5.10269582580701,"Wetland","Eneal","Cattail marsh",5.10269582580701
"260","35",2009,97.4235395377335,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",97.4540665963882
"261","37",2009,702.70758536655,"Cultivated","Cultivos intensivos","Cultivated land",702.854193362095
"262","38",2009,465.168116370845,"Cultivated","Caña","Sugar cane",465.659307081294
"263","39",2009,264.416642053231,"Cultivated","Arroz","Rice",264.447910318123
"264","40",2009,569.208987234426,"Cultivated","Pasto","Pasture",569.229356809804
"265","51",2009,23.7924742001056,"Cultivated","Palma Africana","African palm",23.7924742001056
"266","52",2009,220.663187611939,"Cultivated","Palma de Coco","Coco Palm",220.668264401123
"267","53",2009,2279.84023430162,"Cultivated","Café y Cacao","Coffee and Cacao",2280.09133853616
"268","59",2009,3832.61303668922,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3836.3546085252
"269","65",2009,17.0538002446465,"Unvegetated","Lagunos o lagos","Lake",17.0546486833672
"270","72",2009,12.1756303217917,"Unvegetated","Areas pobladas","Populated areas",12.1756303217917
"271","1",2010,1551.10323100772,"Forest","Bosque conifero denso","Dense conifer forest",1602.66832550183
"272","2",2010,599.229892011928,"Forest","Bosque conifero abierto","Open conifer forest",616.92368008716
"273","4",2010,921.503960544201,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",928.167179183502
"274","6",2010,2448.85756104838,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2452.92191721024
"275","8",2010,1412.90816221556,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1413.59973189262
"276","9",2010,2037.27248038712,"Forest","Bosque seco","Dry forest",2038.08502387192
